County,Reason,Proportion
Kitui,No mosquitoes/malaria,(28.2)
Kitui,Extra net/saving for later,(21.1)
Kitui,Net too small,(0.0)
Kitui,Net brought bedbugs,(0.0)
Kitui,Other,(13.7)
Machakos,Too hot,5.7
Machakos,Don't like net,0.5
Machakos,Don't like smell,0.0
Machakos,Unable to hang net,1.8
Machakos,Slept outdoors,0.7
Machakos,User didn't sleep in household,32.3
Machakos,No mosquitoes/malaria,20.6
Machakos,Extra net/saving for later,37.7
Machakos,Net too small,0.0
Machakos,Net brought bedbugs,0.0
Machakos,Other,0.7
Makueni,Too hot,10.4
Makueni,Don't like net,0.0
Makueni,Don't like smell,1.6
Makueni,Unable to hang net,1.0
Makueni,Slept outdoors,0.0
Makueni,User didn't sleep in household,26.6
Makueni,No mosquitoes/malaria,30.1
Makueni,Extra net/saving for later,24.8
Makueni,Net too small,1.0
Makueni,Net brought bedbugs,0.6
Makueni,Other,4.0
Nyandarua,Too hot,0.0
Nyandarua,Don't like net,0.0
Nyandarua,Don't like smell,0.0
Nyandarua,Unable to hang net,5.4
Nyandarua,Slept outdoors,1.0
Nyandarua,User didn't sleep in household,11.5
Nyandarua,No mosquitoes/malaria,34.9
Nyandarua,Extra net/saving for later,25.1
Nyandarua,Net too small,2.4
Nyandarua,Net brought bedbugs,0.0
Nyandarua,Other,19.7
Nyeri,Too hot,6.0
Nyeri,Don't like net,0.0
Nyeri,Don't like smell,1.4
Nyeri,Unable to hang net,5.2
Nyeri,Slept outdoors,0.0
Nyeri,User didn't sleep in household,8.0
Nyeri,No mosquitoes/malaria,54.8
Nyeri,Extra net/saving for later,11.9
Nyeri,Net too small,0.0
Nyeri,Net brought bedbugs,0.0
Nyeri,Other,12.7
Kirinyaga,Too hot,4.3
Kirinyaga,Don't like net,0.5
Kirinyaga,Don't like smell,0.0
Kirinyaga,Unable to hang net,2.9
Kirinyaga,Slept outdoors,0.6
Kirinyaga,User didn't sleep in household,9.1
Kirinyaga,No mosquitoes/malaria,14.9
Kirinyaga,Extra net/saving for later,65.1
Kirinyaga,Net too small,0.0
Kirinyaga,Net brought bedbugs,0.4
Kirinyaga,Other,2.2
Murang'a,Too hot,5.4
Murang'a,Don't like net,1.1
Murang'a,Don't like smell,0.6
Murang'a,Unable to hang net,0.0
Murang'a,Slept outdoors,0.0
Murang'a,User didn't sleep in household,12.7
Murang'a,No mosquitoes/malaria,37.8
Murang'a,Extra net/saving for later,33.6
Murang'a,Net too small,0.0
Murang'a,Net brought bedbugs,0.0
Murang'a,Other,8.9
Kiambu,Too hot,5.2
Kiambu,Don't like net,2.8
Kiambu,Don't like smell,0.0
Kiambu,Unable to hang net,6.0
Kiambu,Slept outdoors,1.3
Kiambu,User didn't sleep in household,12.5
Kiambu,No mosquitoes/malaria,31.6
Kiambu,Extra net/saving for later,29.5
Kiambu,Net too small,1.3
Kiambu,Net brought bedbugs,0.0
Kiambu,Other,9.8
Turkana,Too hot,7.1
Turkana,Don't like net,0.3
Turkana,Don't like smell,0.0
Turkana,Unable to hang net,1.6
Turkana,Slept outdoors,3.1
Turkana,User didn't sleep in household,11.4
Turkana,No mosquitoes/malaria,37.9
Turkana,Extra net/saving for later,26.7
Turkana,Net too small,0.0
Turkana,Net brought bedbugs,0.0
Turkana,Other,12.0
West Pokot,Too hot,6.5
West Pokot,Don't like net,0.5
West Pokot,Don't like smell,1.1
West Pokot,Unable to hang net,12.7
West Pokot,Slept outdoors,5.8
West Pokot,User didn't sleep in household,9.1
West Pokot,No mosquitoes/malaria,15.1
West Pokot,Extra net/saving for later,43.4
West Pokot,Net too small,0.3
West Pokot,Net brought bedbugs,0.2
West Pokot,Other,5.3
Samburu,Too hot,17.7
Samburu,Don't like net,0.0
Samburu,Don't like smell,0.0
Samburu,Unable to hang net,3.1
Samburu,Slept outdoors,0.0
Samburu,User didn't sleep in household,11.3
Samburu,No mosquitoes/malaria,49.1
Samburu,Extra net/saving for later,2.2
Samburu,Net too small,0.0
Samburu,Net brought bedbugs,4.4
Samburu,Other,12.1
Trans Nzoia,Too hot,2.4
Trans Nzoia,Don't like net,1.1
Trans Nzoia,Don't like smell,2.1
Trans Nzoia,Unable to hang net,3.8
Trans Nzoia,Slept outdoors,3.7
Trans Nzoia,User didn't sleep in household,7.7
Trans Nzoia,No mosquitoes/malaria,3.9
Trans Nzoia,Extra net/saving for later,69.3
Trans Nzoia,Net too small,0.2
Trans Nzoia,Net brought bedbugs,0.0
Trans Nzoia,Other,5.8
Uasin Gishu,Too hot,1.8
Uasin Gishu,Don't like net,0.5
Uasin Gishu,Don't like smell,1.0
Uasin Gishu,Unable to hang net,4.4
Uasin Gishu,Slept outdoors,0.3
Uasin Gishu,User didn't sleep in household,12.3
Uasin Gishu,No mosquitoes/malaria,9.5
Uasin Gishu,Extra net/saving for later,65.8
Uasin Gishu,Net too small,0.0
Uasin Gishu,Net brought bedbugs,0.0
Uasin Gishu,Other,4.5
Elgeyo-Marakwet,Too hot,9.1
Elgeyo-Marakwet,Don't like net,1.5
Elgeyo-Marakwet,Don't like smell,1.0
Elgeyo-Marakwet,Unable to hang net,2.2
Elgeyo-Marakwet,Slept outdoors,0.0
Elgeyo-Marakwet,User didn't sleep in household,12.3
Elgeyo-Marakwet,No mosquitoes/malaria,56.4
Elgeyo-Marakwet,Extra net/saving for later,15.6
Elgeyo-Marakwet,Net too small,0.0
Elgeyo-Marakwet,Net brought bedbugs,0.0
Elgeyo-Marakwet,Other,1.8
Nandi,Too hot,3.1
Nandi,Don't like net,3.5
Nandi,Don't like smell,0.5
Nandi,Unable to hang net,9.6
Nandi,Slept outdoors,0.0
Nandi,User didn't sleep in household,9.9
Nandi,No mosquitoes/malaria,5.6
Nandi,Extra net/saving for later,62.8
Nandi,Net too small,0.0
Nandi,Net brought bedbugs,0.0
Nandi,Other,5.1
Baringo,Too hot,4.2
Baringo,Don't like net,0.8
Baringo,Don't like smell,2.5
Baringo,Unable to hang net,7.6
Baringo,Slept outdoors,6.0
Baringo,User didn't sleep in household,9.7
Baringo,No mosquitoes/malaria,25.2
Baringo,Extra net/saving for later,39.8
Baringo,Net too small,0.0
Baringo,Net brought bedbugs,0.0
Baringo,Other,4.3
Laikipia,Too hot,3.5
Laikipia,Don't like net,1.1
Laikipia,Don't like smell,1.4
Laikipia,Unable to hang net,5.7
Laikipia,Slept outdoors,5.4
Laikipia,User didn't sleep in household,22.0
Laikipia,No mosquitoes/malaria,33.4
Laikipia,Extra net/saving for later,19.4
Laikipia,Net too small,0.0
Laikipia,Net brought bedbugs,0.0
Laikipia,Other,8.2
Nakuru,Too hot,16.4
Nakuru,Don't like net,1.3
Nakuru,Don't like smell,1.5
Nakuru,Unable to hang net,4.8
Nakuru,Slept outdoors,1.3
Nakuru,User didn't sleep in household,14.7
Nakuru,No mosquitoes/malaria,41.6
Nakuru,Extra net/saving for later,13.4
Nakuru,Net too small,0.8
Nakuru,Net brought bedbugs,0.0
Nakuru,Other,4.3
Narok,Too hot,1.4
Narok,Don't like net,0.1
Narok,Don't like smell,3.1
Narok,Unable to hang net,4.7
Narok,Slept outdoors,0.1
Narok,User didn't sleep in household,10.1
Narok,No mosquitoes/malaria,12.9
Narok,Extra net/saving for later,59.9
Narok,Net too small,0.3
Narok,Net brought bedbugs,0.0
Narok,Other,7.4
Kajiado,Too hot,10.3
Kajiado,Don't like net,3.0
Kajiado,Don't like smell,2.5
Kajiado,Unable to hang net,7.8
Kajiado,Slept outdoors,0.0
Kajiado,User didn't sleep in household,9.0
Kajiado,No mosquitoes/malaria,21.4
Kajiado,Extra net/saving for later,39.2
Kajiado,Net too small,0.0
Kajiado,Net brought bedbugs,0.3
Kajiado,Other,6.5
Kericho,Too hot,1.0
Kericho,Don't like net,0.0
Kericho,Don't like smell,0.7
Kericho,Unable to hang net,1.7
Kericho,Slept outdoors,1.4
Kericho,User didn't sleep in household,12.8
Kericho,No mosquitoes/malaria,1.7
Kericho,Extra net/saving for later,77.7
Kericho,Net too small,0.0
Kericho,Net brought bedbugs,0.0
Kericho,Other,2.9
Bomet,Too hot,0.7
Bomet,Don't like net,0.4
Bomet,Don't like smell,3.2
Bomet,Unable to hang net,3.0
Bomet,Slept outdoors,0.5
Bomet,User didn't sleep in household,9.3
Bomet,No mosquitoes/malaria,4.9
Bomet,Extra net/saving for later,76.1
Bomet,Net too small,0.0
Bomet,Net brought bedbugs,0.0
Bomet,Other,1.9
Kakamega,Too hot,1.1
Kakamega,Don't like net,2.2
Kakamega,Don't like smell,1.0
Kakamega,Unable to hang net,4.3
Kakamega,Slept outdoors,0.9
Kakamega,User didn't sleep in household,6.3
Kakamega,No mosquitoes/malaria,2.7
Kakamega,Extra net/saving for later,67.4
Kakamega,Net too small,0.7
Kakamega,Net brought bedbugs,2.2
Kakamega,Other,11.2
Vihiga,Too hot,2.0
Vihiga,Don't like net,0.3
Vihiga,Don't like smell,1.8
Vihiga,Unable to hang net,3.2
Vihiga,Slept outdoors,0.0
Vihiga,User didn't sleep in household,18.5
Vihiga,No mosquitoes/malaria,0.7
Vihiga,Extra net/saving for later,66.4
Vihiga,Net too small,0.0
Vihiga,Net brought bedbugs,1.3
Vihiga,Other,5.9
Bungoma,Too hot,2.0
Bungoma,Don't like net,0.2
Bungoma,Don't like smell,0.2
Bungoma,Unable to hang net,6.1
Bungoma,Slept outdoors,1.1
Bungoma,User didn't sleep in household,9.0
Bungoma,No mosquitoes/malaria,1.7
Bungoma,Extra net/saving for later,72.8
Bungoma,Net too small,0.9
Bungoma,Net brought bedbugs,2.6
Bungoma,Other,3.5
Busia,Too hot,1.3
Busia,Don't like net,0.6
Busia,Don't like smell,0.9
Busia,Unable to hang net,1.0
Busia,Slept outdoors,0.0
Busia,User didn't sleep in household,7.1
Busia,No mosquitoes/malaria,3.3
Busia,Extra net/saving for later,81.2
Busia,Net too small,0.0
Busia,Net brought bedbugs,1.9
Busia,Other,2.7
Siaya,Too hot,0.6
Siaya,Don't like net,0.0
Siaya,Don't like smell,0.4
Siaya,Unable to hang net,1.5
Siaya,Slept outdoors,0.0
Siaya,User didn't sleep in household,11.8
Siaya,No mosquitoes/malaria,1.5
Siaya,Extra net/saving for later,80.6
Siaya,Net too small,0.0
Siaya,Net brought bedbugs,1.9
Siaya,Other,1.6
Kisumu,Too hot,3.9
Kisumu,Don't like net,0.0
Kisumu,Don't like smell,0.3
Kisumu,Unable to hang net,2.2
Kisumu,Slept outdoors,2.2
Kisumu,User didn't sleep in household,7.2
Kisumu,No mosquitoes/malaria,4.9
Kisumu,Extra net/saving for later,73.8
Kisumu,Net too small,0.6
Kisumu,Net brought bedbugs,1.1
Kisumu,Other,3.8
Homa Bay,Too hot,0.5
Homa Bay,Don't like net,1.7
Homa Bay,Don't like smell,0.8
Homa Bay,Unable to hang net,6.5
Homa Bay,Slept outdoors,0.2
Homa Bay,User didn't sleep in household,10.8
Homa Bay,No mosquitoes/malaria,3.7
Homa Bay,Extra net/saving for later,67.5
Homa Bay,Net too small,0.0
Homa Bay,Net brought bedbugs,1.2
Homa Bay,Other,7.1
Migori,Too hot,1.3
Migori,Don't like net,0.8
Migori,Don't like smell,0.4
Migori,Unable to hang net,4.4
Migori,Slept outdoors,0.0
Migori,User didn't sleep in household,15.5
