County,Category,Proportion
Mombasa,Stool disposed of appropriately,100.0
Mombasa,Child used toilet,5.4
Mombasa,Put/rinsed into toilet,48.6
Mombasa,Buried,0.0
Mombasa,Put/rinsed into drain/ditch,3.6
Mombasa,Thrown into garbage,42.5
Mombasa,Left in the open,0.0
Mombasa,Other,0.0
Kwale,Stool disposed of appropriately,100.0
Kwale,Child used toilet,10.4
Kwale,Put/rinsed into toilet,48.6
Kwale,Buried,6.2
Kwale,Put/rinsed into drain/ditch,11.9
Kwale,Thrown into garbage,23.0
Kwale,Left in the open,0.0
Kwale,Other,0.0
Kilifi,Stool disposed of appropriately,100.0
Kilifi,Child used toilet,0.0
Kilifi,Put/rinsed into toilet,60.8
Kilifi,Buried,11.4
Kilifi,Put/rinsed into drain/ditch,1.4
Kilifi,Thrown into garbage,17.8
Kilifi,Left in the open,8.6
Kilifi,Other,0.0
Tana River,Stool disposed of appropriately,100.0
Tana River,Child used toilet,0.0
Tana River,Put/rinsed into toilet,31.6
Tana River,Buried,14.7
Tana River,Put/rinsed into drain/ditch,10.4
Tana River,Thrown into garbage,39.8
Tana River,Left in the open,3.5
Tana River,Other,0.0
Lamu,Stool disposed of appropriately,100.0
Lamu,Child used toilet,0.8
Lamu,Put/rinsed into toilet,50.5
Lamu,Buried,12.1
Lamu,Put/rinsed into drain/ditch,3.4
Lamu,Thrown into garbage,28.6
Lamu,Left in the open,4.6
Lamu,Other,0.0
Taita Taveta,Stool disposed of appropriately,100.0
Taita Taveta,Child used toilet,0.0
Taita Taveta,Put/rinsed into toilet,74.3
Taita Taveta,Buried,0.0
Taita Taveta,Put/rinsed into drain/ditch,8.8
Taita Taveta,Thrown into garbage,14.9
Taita Taveta,Left in the open,0.0
Taita Taveta,Other,1.9
Garissa,Stool disposed of appropriately,100.0
Garissa,Child used toilet,0.0
Garissa,Put/rinsed into toilet,41.3
Garissa,Buried,4.3
Garissa,Put/rinsed into drain/ditch,0.9
Garissa,Thrown into garbage,44.0
Garissa,Left in the open,9.6
Garissa,Other,0.0
Wajir,Stool disposed of appropriately,100.0
Wajir,Child used toilet,0.3
Wajir,Put/rinsed into toilet,11.1
Wajir,Buried,35.0
Wajir,Put/rinsed into drain/ditch,11.4
Wajir,Thrown into garbage,41.6
Wajir,Left in the open,0.0
Wajir,Other,0.7
Mandera,Stool disposed of appropriately,100.0
Mandera,Child used toilet,0.0
Mandera,Put/rinsed into toilet,16.1
Mandera,Buried,4.1
Mandera,Put/rinsed into drain/ditch,19.1
Mandera,Thrown into garbage,23.8
Mandera,Left in the open,36.8
Mandera,Other,0.0
Marsabit,Stool disposed of appropriately,100.0
Marsabit,Child used toilet,1.4
Marsabit,Put/rinsed into toilet,43.4
Marsabit,Buried,6.7
Marsabit,Put/rinsed into drain/ditch,12.4
Marsabit,Thrown into garbage,25.6
Marsabit,Left in the open,10.6
Marsabit,Other,0.0
Isiolo,Stool disposed of appropriately,100.0
Isiolo,Child used toilet,2.4
Isiolo,Put/rinsed into toilet,55.9
Isiolo,Buried,7.1
Isiolo,Put/rinsed into drain/ditch,7.5
Isiolo,Thrown into garbage,15.6
Isiolo,Left in the open,11.5
Isiolo,Other,0.0
Meru,Stool disposed of appropriately,100.0
Meru,Child used toilet,2.5
Meru,Put/rinsed into toilet,90.4
Meru,Buried,1.0
Meru,Put/rinsed into drain/ditch,1.6
Meru,Thrown into garbage,4.5
Meru,Left in the open,0.0
Meru,Other,0.0
Tharaka-Nithi,Stool disposed of appropriately,100.0
Tharaka-Nithi,Child used toilet,1.9
Tharaka-Nithi,Put/rinsed into toilet,87.8
Tharaka-Nithi,Buried,0.0
Tharaka-Nithi,Put/rinsed into drain/ditch,2.1
Tharaka-Nithi,Thrown into garbage,6.0
Tharaka-Nithi,Left in the open,0.0
Tharaka-Nithi,Other,2.1
Embu,Stool disposed of appropriately,100.0
Embu,Child used toilet,0.0
Embu,Put/rinsed into toilet,68.2
Embu,Buried,0.0
Embu,Put/rinsed into drain/ditch,5.9
Embu,Thrown into garbage,25.8
Embu,Left in the open,0.0
Embu,Other,0.0
Kitui,Stool disposed of appropriately,100.0
Kitui,Child used toilet,7.1
Kitui,Put/rinsed into toilet,46.9
Kitui,Buried,6.9
Kitui,Put/rinsed into drain/ditch,12.9
Kitui,Thrown into garbage,21.4
Kitui,Left in the open,1.7
Kitui,Other,3.2
Machakos,Stool disposed of appropriately,100.0
Machakos,Child used toilet,0.0
Machakos,Put/rinsed into toilet,52.5
Machakos,Buried,4.2
Machakos,Put/rinsed into drain/ditch,1.8
Machakos,Thrown into garbage,34.2
Machakos,Left in the open,3.8
Machakos,Other,3.4
Makueni,Stool disposed of appropriately,100.0
Makueni,Child used toilet,2.6
Makueni,Put/rinsed into toilet,95.4
Makueni,Buried,0.0
Makueni,Put/rinsed into drain/ditch,0.0
Makueni,Thrown into garbage,2.0
Makueni,Left in the open,0.0
Makueni,Other,0.0
Nyandarua,Stool disposed of appropriately,100.0
Nyandarua,Child used toilet,4.1
Nyandarua,Put/rinsed into toilet,74.8
Nyandarua,Buried,0.0
Nyandarua,Put/rinsed into drain/ditch,3.5
Nyandarua,Thrown into garbage,16.8
Nyandarua,Left in the open,0.0
Nyandarua,Other,0.8
Nyeri,Stool disposed of appropriately,100.0
Nyeri,Child used toilet,1.0
Nyeri,Put/rinsed into toilet,79.3
Nyeri,Buried,0.0
Nyeri,Put/rinsed into drain/ditch,6.1
Nyeri,Thrown into garbage,13.6
Nyeri,Left in the open,0.0
Nyeri,Other,0.0
Kirinyaga,Stool disposed of appropriately,100.0
Kirinyaga,Child used toilet,1.9
Kirinyaga,Put/rinsed into toilet,57.2
Kirinyaga,Buried,0.0
Kirinyaga,Put/rinsed into drain/ditch,12.6
Kirinyaga,Thrown into garbage,28.3
Kirinyaga,Left in the open,0.0
Kirinyaga,Other,0.0
Murang'a,Stool disposed of appropriately,100.0
Murang'a,Child used toilet,0.0
Murang'a,Put/rinsed into toilet,90.3
Murang'a,Buried,0.0
Murang'a,Put/rinsed into drain/ditch,0.0
Murang'a,Thrown into garbage,8.8
Murang'a,Left in the open,0.0
Murang'a,Other,0.9
Kiambu,Stool disposed of appropriately,100.0
Kiambu,Child used toilet,0.0
