County,Category,Proportion
Murang'a,Other cleansing agent available,0.0
Murang'a,Pop. with basic handwashing facility,37.7
Murang'a,Pop. with limited handwashing facility,51.9
Kiambu,Fixed handwashing place,42.4
Kiambu,Mobile handwashing place,43.7
Kiambu,Water available,74.2
Kiambu,Soap available,56.6
Kiambu,Other cleansing agent available,0.0
Kiambu,Pop. with basic handwashing facility,48.7
Kiambu,Pop. with limited handwashing facility,42.9
Turkana,Fixed handwashing place,5.3
Turkana,Mobile handwashing place,29.3
Turkana,Water available,89.3
Turkana,Soap available,47.6
Turkana,Other cleansing agent available,1.0
Turkana,Pop. with basic handwashing facility,16.4
Turkana,Pop. with limited handwashing facility,18.4
West Pokot,Fixed handwashing place,20.4
West Pokot,Mobile handwashing place,35.5
West Pokot,Water available,87.0
West Pokot,Soap available,59.6
West Pokot,Other cleansing agent available,17.8
West Pokot,Pop. with basic handwashing facility,32.6
West Pokot,Pop. with limited handwashing facility,23.7
Samburu,Fixed handwashing place,11.4
Samburu,Mobile handwashing place,48.7
Samburu,Water available,62.7
Samburu,Soap available,33.5
Samburu,Other cleansing agent available,0.7
Samburu,Pop. with basic handwashing facility,19.2
Samburu,Pop. with limited handwashing facility,41.9
Trans Nzoia,Fixed handwashing place,15.5
Trans Nzoia,Mobile handwashing place,54.4
Trans Nzoia,Water available,89.0
Trans Nzoia,Soap available,69.5
Trans Nzoia,Other cleansing agent available,0.2
Trans Nzoia,Pop. with basic handwashing facility,49.9
Trans Nzoia,Pop. with limited handwashing facility,30.8
Uasin Gishu,Fixed handwashing place,38.4
Uasin Gishu,Mobile handwashing place,57.7
Uasin Gishu,Water available,95.1
Uasin Gishu,Soap available,70.7
Uasin Gishu,Other cleansing agent available,0.2
Uasin Gishu,Pop. with basic handwashing facility,66.4
Uasin Gishu,Pop. with limited handwashing facility,30.7
Elgeyo-Marakwet,Fixed handwashing place,32.6
Elgeyo-Marakwet,Mobile handwashing place,39.9
Elgeyo-Marakwet,Water available,85.3
Elgeyo-Marakwet,Soap available,59.2
Elgeyo-Marakwet,Other cleansing agent available,2.0
Elgeyo-Marakwet,Pop. with basic handwashing facility,42.8
Elgeyo-Marakwet,Pop. with limited handwashing facility,30.9
Nandi,Fixed handwashing place,21.9
Nandi,Mobile handwashing place,65.2
Nandi,Water available,87.6
Nandi,Soap available,70.4
Nandi,Other cleansing agent available,0.3
Nandi,Pop. with basic handwashing facility,65.7
Nandi,Pop. with limited handwashing facility,32.0
Baringo,Fixed handwashing place,11.7
Baringo,Mobile handwashing place,62.7
Baringo,Water available,80.0
Baringo,Soap available,65.6
Baringo,Other cleansing agent available,0.4
Baringo,Pop. with basic handwashing facility,47.6
Baringo,Pop. with limited handwashing facility,28.6
Laikipia,Fixed handwashing place,42.7
Laikipia,Mobile handwashing place,47.9
Laikipia,Water available,90.7
Laikipia,Soap available,59.5
Laikipia,Other cleansing agent available,0.2
Laikipia,Pop. with basic handwashing facility,57.4
Laikipia,Pop. with limited handwashing facility,42.2
Nakuru,Fixed handwashing place,31.3
Nakuru,Mobile handwashing place,48.6
Nakuru,Water available,92.0
Nakuru,Soap available,84.1
Nakuru,Other cleansing agent available,0.0
Nakuru,Pop. with basic handwashing facility,69.2
Nakuru,Pop. with limited handwashing facility,14.9
Narok,Fixed handwashing place,8.5
Narok,Mobile handwashing place,73.4
Narok,Water available,90.0
Narok,Soap available,62.7
Narok,Other cleansing agent available,1.3
Narok,Pop. with basic handwashing facility,53.0
Narok,Pop. with limited handwashing facility,32.6
Kajiado,Fixed handwashing place,34.7
Kajiado,Mobile handwashing place,59.5
Kajiado,Water available,97.3
Kajiado,Soap available,91.4
Kajiado,Other cleansing agent available,0.3
Kajiado,Pop. with basic handwashing facility,85.7
Kajiado,Pop. with limited handwashing facility,8.6
Kericho,Fixed handwashing place,23.4
Kericho,Mobile handwashing place,25.8
Kericho,Water available,81.6
Kericho,Soap available,51.6
Kericho,Other cleansing agent available,0.7
Kericho,Pop. with basic handwashing facility,25.4
Kericho,Pop. with limited handwashing facility,23.9
Bomet,Fixed handwashing place,12.7
Bomet,Mobile handwashing place,42.6
Bomet,Water available,97.3
Bomet,Soap available,75.9
Bomet,Other cleansing agent available,0.7
Bomet,Pop. with basic handwashing facility,42.2
Bomet,Pop. with limited handwashing facility,13.6
Kakamega,Fixed handwashing place,14.6
Kakamega,Mobile handwashing place,38.5
Kakamega,Water available,90.2
Kakamega,Soap available,72.8
Kakamega,Other cleansing agent available,0.5
Kakamega,Pop. with basic handwashing facility,39.8
Kakamega,Pop. with limited handwashing facility,16.2
Vihiga,Fixed handwashing place,16.2
Vihiga,Mobile handwashing place,51.6
Vihiga,Water available,92.9
Vihiga,Soap available,66.3
Vihiga,Other cleansing agent available,0.0
Vihiga,Pop. with basic handwashing facility,57.5
Vihiga,Pop. with limited handwashing facility,30.7
Bungoma,Fixed handwashing place,11.1
Bungoma,Mobile handwashing place,70.4
Bungoma,Water available,95.7
Bungoma,Soap available,72.8
Bungoma,Other cleansing agent available,0.1
Bungoma,Pop. with basic handwashing facility,71.1
Bungoma,Pop. with limited handwashing facility,28.7
Busia,Fixed handwashing place,15.0
Busia,Mobile handwashing place,47.4
Busia,Water available,96.5
Busia,Soap available,88.3
Busia,Other cleansing agent available,0.0
Busia,Pop. with basic handwashing facility,68.0
Busia,Pop. with limited handwashing facility,10.4
Siaya,Fixed handwashing place,11.4
Siaya,Mobile handwashing place,14.2
Siaya,Water available,86.8
Siaya,Soap available,79.0
Siaya,Other cleansing agent available,0.5
Siaya,Pop. with basic handwashing facility,20.7
Siaya,Pop. with limited handwashing facility,5.9
Kisumu,Fixed handwashing place,13.1
Kisumu,Mobile handwashing place,17.7
Kisumu,Water available,47.0
Kisumu,Soap available,70.9
Kisumu,Other cleansing agent available,0.0
Kisumu,Pop. with basic handwashing facility,12.3
Kisumu,Pop. with limited handwashing facility,18.7
Homa Bay,Fixed handwashing place,14.1
Homa Bay,Mobile handwashing place,42.5
Homa Bay,Water available,86.9
Homa Bay,Soap available,85.3
Homa Bay,Other cleansing agent available,0.5
Homa Bay,Pop. with basic handwashing facility,44.9
Homa Bay,Pop. with limited handwashing facility,13.0
Migori,Fixed handwashing place,12.9
Migori,Mobile handwashing place,78.6
Migori,Water available,97.6
Migori,Soap available,85.7
Migori,Other cleansing agent available,0.5
Migori,Pop. with basic handwashing facility,77.6
Migori,Pop. with limited handwashing facility,14.2
Kisii,Fixed handwashing place,11.5
Kisii,Mobile handwashing place,76.3
Kisii,Water available,85.0
Kisii,Soap available,69.9
Kisii,Other cleansing agent available,0.0
Kisii,Pop. with basic handwashing facility,58.6
Kisii,Pop. with limited handwashing facility,30.8
Nyamira,Fixed handwashing place,6.0
Nyamira,Mobile handwashing place,61.7
Nyamira,Water available,95.8
Nyamira,Soap available,82.9
Nyamira,Other cleansing agent available,0.0
Nyamira,Pop. with basic handwashing facility,67.7
Nyamira,Pop. with limited handwashing facility,14.1
Nairobi,Fixed handwashing place,46.8
Nairobi,Mobile handwashing place,50.9
Nairobi,Water available,98.0
Nairobi,Soap available,94.0
Nairobi,Other cleansing agent available,0.1
Nairobi,Pop. with basic handwashing facility,92.5
Nairobi,Pop. with limited handwashing facility,6.9
